City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Geraldton,AU,-28.7667,114.6,296.38,35,0,5.14,clear sky
144,Bac Lieu,VN,9.285,105.7244,301.54,77,100,4.53,overcast clouds
145,Palmer,US,42.1584,-72.3287,283.39,69,100,3.6,overcast clouds
146,Hobyo,SO,5.3505,48.5268,297.61,88,45,7.8,scattered clouds
147,Bengkulu,ID,-3.8004,102.2655,299.61,79,100,1.41,overcast clouds
148,Hermanus,ZA,-34.4187,19.2345,285.82,71,53,3.08,broken clouds
149,Lukovetskiy,RU,64.2956,41.9211,278.1,92,100,4.42,light rain
150,Namibe,AO,-15.1961,12.1522,292.19,89,47,0.94,scattered clouds
151,Bayang,PH,7.7928,124.1917,300.68,60,92,1.23,overcast clouds
152,Mar Del Plata,AR,-38.0023,-57.5575,284.87,88,0,3.09,clear sky
153,Cherskiy,RU,68.75,161.3,271.62,71,100,3.48,overcast clouds
154,Bambous Virieux,MU,-20.3428,57.7575,294.38,83,40,3.6,scattered clouds
155,Tanacu,RO,46.6833,27.8167,282.92,68,99,3.5,overcast clouds
156,Picton,AU,-34.1833,150.6,296.29,45,67,1.71,broken clouds
157,Blankenberge,BE,51.3131,3.1323,285.12,95,100,4.75,overcast clouds
158,Bambanglipuro,ID,-7.95,110.2833,300.73,73,91,3.94,overcast clouds
159,Sungairaya,ID,0.7,108.9,301.53,74,88,2.55,overcast clouds
160,Kaeo,NZ,-35.1,173.7833,289.7,60,84,3.02,broken clouds
161,Yar-Sale,RU,66.8333,70.8333,276.48,81,100,5.39,overcast clouds
162,Zeya,RU,53.75,127.2667,275.51,32,57,5.16,broken clouds
163,Rio Do Sul,BR,-27.2142,-49.6431,290.03,94,99,1.36,overcast clouds
164,Inuvik,CA,68.3499,-133.7218,271.63,86,75,3.6,broken clouds
165,Wuwei,CN,37.9281,102.6414,283.08,46,3,1.8,clear sky
166,Straumen,NO,63.8709,11.2999,282.15,89,64,2.13,broken clouds
167,Fort Nelson,CA,58.8053,-122.7002,280.92,66,40,1.54,scattered clouds
168,Togur,RU,58.3631,82.8265,272.65,75,64,2.88,broken clouds
169,Bud,US,39.447,-86.1758,287.03,63,0,3.34,clear sky
170,Salo,IT,45.6086,10.531,290.37,77,27,2.98,scattered clouds
171,Mareeba,AU,-17.0,145.4333,300.62,66,59,4.86,broken clouds
172,Tombouctou,ML,20.0,-3.0,304.79,12,0,3.17,clear sky
173,Nevers,FR,46.9167,3.3333,280.26,92,12,1.11,few clouds
174,Vestmannaeyjar,IS,63.4427,-20.2734,283.09,82,100,11.48,overcast clouds
175,Kumluca,TR,36.3703,30.2869,297.1,57,0,1.84,clear sky
176,Belmonte,BR,-15.8631,-38.8828,296.85,87,45,4.37,scattered clouds
177,Mamallapuram,IN,12.6264,80.1722,302.18,66,100,4.25,overcast clouds
178,Husavik,IS,66.0449,-17.3389,278.91,92,93,3.02,overcast clouds
179,Luanda,AO,-8.8368,13.2343,295.15,88,34,2.06,scattered clouds
180,Hithadhoo,MV,-0.6,73.0833,300.96,69,100,7.1,overcast clouds
181,Saint-Augustin,CA,51.226,-58.6502,279.29,62,9,6.53,clear sky
182,Mildura,AU,-34.2,142.15,290.0,57,100,6.8,light rain
183,Axim,GH,4.8699,-2.2405,297.09,93,71,2.52,broken clouds
184,Luderitz,NA,-26.6481,15.1594,286.7,80,0,8.15,clear sky
185,Victoria Point,AU,-27.5833,153.3,297.28,65,36,0.89,scattered clouds
186,Yulara,AU,-25.2406,130.9889,292.2,60,97,0.61,overcast clouds
187,Kavieng,PG,-2.5744,150.7967,303.05,63,100,4.24,overcast clouds
188,Zenzeli,RU,45.9241,47.0474,292.18,92,100,6.71,overcast clouds
189,Onda,ES,39.9667,-0.25,294.21,86,100,0.4,overcast clouds
190,Lubango,AO,-14.9172,13.4925,289.34,68,55,1.57,broken clouds
191,Labuhan,ID,-6.8844,112.2051,301.82,67,96,3.83,overcast clouds
192,Campoverde,PE,-8.4753,-74.8058,298.98,70,21,1.12,few clouds
193,Povenets,RU,62.8487,34.8262,279.85,95,100,5.07,overcast clouds
194,Yellowknife,CA,62.456,-114.3525,280.13,70,75,4.63,broken clouds
195,Turiacu,BR,-1.6633,-45.3717,296.92,89,33,2.17,scattered clouds
196,Puerto El Triunfo,SV,13.2833,-88.55,301.66,92,100,1.72,overcast clouds
197,Iqaluit,CA,63.7506,-68.5145,276.0,86,75,5.14,light rain
198,Stykkisholmur,IS,65.0757,-22.7297,280.47,83,100,7.08,overcast clouds
199,Tecoanapa,MX,16.5167,-98.75,299.61,78,13,2.2,few clouds
200,Paita,PE,-5.0892,-81.1144,290.42,85,76,6.34,broken clouds
201,Mandalgovi,MN,45.7625,106.2708,271.97,32,0,5.16,clear sky
202,Poum,NC,-20.2333,164.0167,296.54,64,2,7.5,clear sky
203,Palana,RU,59.1167,159.9667,279.16,76,100,3.19,overcast clouds
204,Tomatlan,MX,19.9333,-105.25,296.11,95,100,1.17,overcast clouds
205,Sakakah,SA,29.9697,40.2064,297.91,17,0,3.19,clear sky
206,Nuuk,GL,64.1835,-51.7216,274.49,93,75,0.51,broken clouds
