City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Gamba,GA,2022-10-05 01:30:15,-2.65,10.0,296.74,85,96,2.19
107,Mahebourg,MU,2022-10-05 01:30:17,-20.4081,57.7,293.31,83,40,1.54
108,Port Lincoln,AU,2022-10-05 01:30:18,-34.7333,135.8667,290.94,72,57,4.94
109,Pontes E Lacerda,BR,2022-10-05 01:29:35,-15.2261,-59.3353,297.01,78,33,1.27
110,Yellowknife,CA,2022-10-05 01:30:19,62.456,-114.3525,275.44,64,75,5.66
111,Kalmunai,LK,2022-10-05 01:30:20,7.4167,81.8167,301.2,65,100,1.37
112,Iqaluit,CA,2022-10-05 01:27:45,63.7506,-68.5145,274.0,100,75,0.0
113,Vardo,NO,2022-10-05 01:30:21,70.3705,31.1107,280.14,81,75,4.12
114,Sendafa,ET,2022-10-05 01:30:21,9.15,39.0333,282.66,91,45,1.48
115,Bowen,AU,2022-10-05 01:30:22,-20.0167,148.2333,298.17,64,100,7.93
116,Salalah,OM,2022-10-05 01:30:22,17.0151,54.0924,298.2,83,0,1.54
117,Along,IN,2022-10-05 01:27:04,28.1667,94.7667,295.85,97,98,0.15
118,Chengde,CN,2022-10-05 01:30:23,40.9725,117.9361,282.48,22,8,2.42
119,Asosa,ET,2022-10-05 01:30:23,10.0667,34.5333,287.91,93,64,1.97
120,Asau,RO,2022-10-05 01:30:24,46.4333,26.4,280.66,92,10,2.29
121,Kaitangata,NZ,2022-10-05 01:30:24,-46.2817,169.8464,275.86,90,99,8.58
122,Kuntaur,GM,2022-10-05 01:30:25,13.6667,-14.8833,299.52,84,35,4.21
123,Cherskiy,RU,2022-10-05 01:30:25,68.75,161.3,271.06,59,9,4.36
124,Colesberg,ZA,2022-10-05 01:30:26,-30.72,25.0972,286.84,18,14,1.19
125,Lagoa,PT,2022-10-05 01:30:26,39.05,-27.9833,292.83,86,100,9.6
126,Tasiilaq,GL,2022-10-05 01:30:27,65.6145,-37.6368,275.24,65,3,3.32
127,Ahipara,NZ,2022-10-05 01:30:27,-35.1667,173.1667,288.12,73,100,6.62
128,Yeppoon,AU,2022-10-05 01:30:28,-23.1333,150.7333,299.03,60,96,5.74
129,Srednekolymsk,RU,2022-10-05 01:30:28,67.45,153.6833,270.18,54,15,7.6
130,Bograd,RU,2022-10-05 01:30:29,54.2344,90.8328,275.98,52,100,1.09
131,Grand Gaube,MU,2022-10-05 01:30:29,-20.0064,57.6608,293.37,76,90,0.45
132,Le Pradet,FR,2022-10-05 01:30:30,43.1066,6.0172,290.17,84,0,2.06
133,Thompson,CA,2022-10-05 01:30:17,55.7435,-97.8558,280.24,70,40,1.03
134,Khargupur,IN,2022-10-05 01:28:34,27.3833,81.9833,296.4,94,100,5.48
135,Lincoln,US,2022-10-05 01:29:38,40.8,-96.667,292.66,68,100,2.06
136,Cidreira,BR,2022-10-05 01:28:52,-30.1811,-50.2056,288.51,86,2,2.18
137,Talnakh,RU,2022-10-05 01:30:31,69.4865,88.3972,273.82,98,100,0.72
138,Whyalla,AU,2022-10-05 01:31:31,-33.0333,137.5833,295.48,51,8,3.14
139,Huescar,ES,2022-10-05 01:31:32,37.811,-2.5412,287.66,68,8,1.36
140,Waipawa,NZ,2022-10-05 01:31:32,-41.4122,175.5153,279.83,92,45,8.25
141,Athabasca,CA,2022-10-05 01:31:33,54.7169,-113.2854,283.38,40,63,3.39
142,Anadyr,RU,2022-10-05 01:31:33,64.75,177.4833,274.43,74,75,7.0
143,Beringovskiy,RU,2022-10-05 01:31:34,63.05,179.3167,279.3,74,97,8.22
144,Fortuna,US,2022-10-05 01:31:34,40.5982,-124.1573,289.78,75,51,2.21
145,Ponta Do Sol,PT,2022-10-05 01:31:34,32.6667,-17.1,295.77,68,52,1.53
146,Nikolskoye,RU,2022-10-05 01:31:35,59.7035,30.7861,280.26,96,85,1.57
147,Noumea,NC,2022-10-05 01:30:09,-22.2763,166.4572,299.14,60,0,6.55
148,Dekar,BW,2022-10-05 01:31:35,-21.5333,21.9333,296.64,15,0,2.72
149,Bengkulu,ID,2022-10-05 01:30:20,-3.8004,102.2655,299.29,79,100,1.58
150,Belaya Gora,RU,2022-10-05 01:31:36,68.5333,146.4167,268.41,77,91,2.05
151,Vila Franca Do Campo,PT,2022-10-05 01:31:36,37.7167,-25.4333,294.37,91,42,1.96
152,Sicuani,PE,2022-10-05 01:31:36,-14.2694,-71.2261,283.62,64,46,1.31
153,Hamilton,US,2022-10-05 01:28:56,39.1834,-84.5333,288.14,64,0,2.06
154,Balkanabat,TM,2022-10-05 01:31:37,39.5108,54.3671,294.55,17,0,5.7
155,Tiksi,RU,2022-10-05 01:31:37,71.6872,128.8694,267.7,84,100,7.25
156,Svetlogorsk,BY,2022-10-05 01:31:38,52.6333,29.7333,279.47,90,90,5.45
157,Daru,PG,2022-10-05 01:31:38,-9.0763,143.2092,300.59,87,96,7.21
158,Saint-Philippe,RE,2022-10-05 01:31:39,-21.3585,55.7679,292.92,76,42,4.51
159,Leningradskiy,RU,2022-10-05 01:31:39,69.3833,178.4167,268.28,84,26,1.86
160,Dakar,SN,2022-10-05 01:26:42,14.6937,-17.4441,301.22,89,20,4.12
161,Vestmannaeyjar,IS,2022-10-05 01:31:40,63.4427,-20.2734,279.17,76,100,14.8
162,Sioux Lookout,CA,2022-10-05 01:31:40,50.1001,-91.917,287.19,94,75,2.06
163,Riobamba,EC,2022-10-05 01:31:40,-1.6667,-78.6333,283.69,92,52,1.06
164,Grindavik,IS,2022-10-05 01:31:41,63.8424,-22.4338,279.41,81,100,10.8
165,Fort Nelson,CA,2022-10-05 01:31:41,58.8053,-122.7002,280.92,66,75,3.09
166,Odweyne,SO,2022-10-05 01:31:42,9.4092,45.064,295.03,59,100,2.97
167,Yulara,AU,2022-10-05 01:31:12,-25.2406,130.9889,297.45,32,0,1.75
168,Charters Towers,AU,2022-10-05 01:31:42,-20.1,146.2667,301.75,41,51,5.72
169,Bethel,US,2022-10-05 01:31:43,41.3712,-73.414,286.35,89,100,4.12
170,Simbahan,PH,2022-10-05 01:31:43,6.3032,120.5836,301.95,72,61,2.63
171,Springbok,ZA,2022-10-05 01:31:43,-29.6643,17.8865,280.95,58,0,0.81
172,Camana,PE,2022-10-05 01:31:44,-16.6228,-72.7111,288.82,77,46,3.0
173,Salinopolis,BR,2022-10-05 01:31:44,-0.6136,-47.3561,299.24,77,36,4.07
174,Aklavik,CA,2022-10-05 01:31:45,68.2191,-135.0107,271.65,94,6,4.01
175,Coihueco,CL,2022-10-05 01:31:45,-36.6167,-71.8333,282.56,93,0,1.54
176,Beloha,MG,2022-10-05 01:31:46,-25.1667,45.05,291.45,96,10,1.49
177,Long Xuyen,VN,2022-10-05 01:31:46,10.3833,105.4167,300.12,72,99,5.73
178,La Peca,PE,2022-10-05 01:31:47,-5.6111,-78.435,294.28,79,96,2.09
179,Isla Vista,US,2022-10-05 01:31:47,34.4133,-119.861,301.12,66,0,2.57
180,Rabaul,PG,2022-10-05 01:31:47,-4.1967,152.1721,301.71,71,100,2.62
181,Qaanaaq,GL,2022-10-05 01:31:31,77.484,-69.3632,264.6,77,100,2.67
182,Paamiut,GL,2022-10-05 01:31:48,61.994,-49.6678,276.19,97,100,11.85
183,Katangli,RU,2022-10-05 01:31:48,51.7102,143.2326,276.39,51,12,9.22
184,Phan Thiet,VN,2022-10-05 01:29:54,10.9333,108.1,301.08,73,55,3.19
185,Nsanje,MW,2022-10-05 01:32:49,-16.92,35.262,296.46,60,0,1.7
186,Hasaki,JP,2022-10-05 01:32:49,35.7333,140.8333,296.37,80,100,10.7
187,Mazagao,BR,2022-10-05 01:32:50,-0.115,-51.2894,302.18,84,4,2.41
188,Pinega,RU,2022-10-05 01:32:50,64.7001,43.3936,278.77,97,91,2.24
189,Axim,GH,2022-10-05 01:32:50,4.8699,-2.2405,297.1,94,98,2.66
190,Jutai,BR,2022-10-05 01:32:51,-5.1833,-68.9,297.83,81,56,0.44
191,Rockland,US,2022-10-05 01:32:51,41.1668,-74.0496,285.61,94,100,5.1
192,Upernavik,GL,2022-10-05 01:31:27,72.7868,-56.1549,266.5,79,88,2.32
193,Tateyama,JP,2022-10-05 01:32:52,34.9833,139.8667,297.65,77,95,7.33
194,Morant Bay,JM,2022-10-05 01:32:52,17.8815,-76.4093,300.94,85,48,2.44
195,Vredendal,ZA,2022-10-05 01:32:53,-31.6683,18.5012,281.34,85,0,0.58
196,Saint-Louis,SN,2022-10-05 01:32:53,16.3333,-15.0,305.89,44,98,5.4
197,Flin Flon,CA,2022-10-05 01:30:14,54.7682,-101.865,283.89,53,50,0.96
198,Mehamn,NO,2022-10-05 01:32:53,71.0357,27.8492,278.12,93,75,1.54
199,Aripuana,BR,2022-10-05 01:32:54,-9.1667,-60.6333,296.73,83,59,0.34
200,Esperance,AU,2022-10-05 01:32:54,-33.8667,121.9,292.07,58,52,7.6
201,Guangyuan,CN,2022-10-05 01:32:55,32.442,105.823,286.86,91,100,2.41
202,Pingliang,CN,2022-10-05 01:32:55,35.5392,106.6861,281.07,94,100,1.11
203,Lukovo,MK,2022-10-05 01:32:56,41.3494,20.6047,278.93,87,3,2.52
204,Dobris,CZ,2022-10-05 01:32:56,49.7811,14.1672,281.04,91,98,2.08
205,Airai,TL,2022-10-05 01:32:56,-8.9266,125.4092,296.2,63,82,0.97
206,Poum,NC,2022-10-05 01:32:57,-20.2333,164.0167,296.53,60,18,2.49
207,Tazovskiy,RU,2022-10-05 01:32:57,67.4667,78.7,274.86,97,100,8.43
208,Narsaq,GL,2022-10-05 01:32:58,60.9167,-46.05,278.27,97,100,2.33
209,Norman Wells,CA,2022-10-05 01:32:58,65.282,-126.8329,277.17,81,75,4.63
210,Katsuura,JP,2022-10-05 01:32:58,35.1333,140.3,297.16,84,100,9.63
211,Margate,GB,2022-10-05 01:32:59,51.3813,1.3862,290.32,81,100,2.68
212,Vung Tau,VN,2022-10-05 01:32:03,10.346,107.0843,301.45,78,96,8.16
213,Mao,ES,2022-10-05 01:32:03,39.8885,4.2658,291.46,94,0,1.03
214,Caravelas,BR,2022-10-05 01:33:00,-17.7125,-39.2481,297.01,79,79,5.44
215,Pacific Grove,US,2022-10-05 01:28:26,36.6177,-121.9166,296.49,89,100,5.81
216,Nayoro,JP,2022-10-05 01:33:01,44.3506,142.4578,282.93,56,69,4.91
217,Castro,BR,2022-10-05 01:33:01,-24.7911,-50.0119,286.25,98,12,2.58
218,Paldiski,EE,2022-10-05 01:33:01,59.3567,24.0531,279.74,93,100,1.54
219,Cabedelo,BR,2022-10-05 01:33:02,-6.9811,-34.8339,297.52,80,44,4.07
220,Fairbanks,US,2022-10-05 01:28:33,64.8378,-147.7164,287.15,46,40,3.6
221,Marialva,BR,2022-10-05 01:33:03,-23.485,-51.7917,294.41,79,0,2.06
222,Sturgeon Bay,US,2022-10-05 01:31:23,44.8342,-87.377,290.14,88,0,3.09
223,Egvekinot,RU,2022-10-05 01:33:04,66.3167,-179.1667,270.22,77,88,2.97
224,San Policarpo,PH,2022-10-05 01:33:04,12.1791,125.5072,301.21,82,99,3.01
225,Porangatu,BR,2022-10-05 01:33:05,-13.4408,-49.1486,302.22,37,67,1.69
226,Port Macquarie,AU,2022-10-05 01:30:38,-31.4333,152.9167,292.75,56,100,4.3
227,Aborlan,PH,2022-10-05 01:33:05,9.4352,118.5492,302.19,64,100,2.08
228,Dudinka,RU,2022-10-05 01:34:06,69.4058,86.1778,274.05,99,96,2.0
229,Huron,US,2022-10-05 01:34:06,41.1501,-82.5499,282.84,84,0,0.28
230,Newry,GB,2022-10-05 01:34:07,54.1784,-6.3374,287.65,92,100,8.68
231,Pierre,US,2022-10-05 01:32:00,44.3683,-100.351,287.66,94,100,2.24
232,Nyurba,RU,2022-10-05 01:34:07,63.2842,118.3319,271.36,79,100,4.47
233,Guanare,VE,2022-10-05 01:34:08,9.0418,-69.7421,295.84,96,75,1.67
234,Cotorra,CO,2022-10-05 01:34:08,9.0389,-75.7897,300.18,94,99,2.31
235,Chokwe,MZ,2022-10-05 01:34:09,-24.5333,32.9833,295.43,79,100,3.43
236,Jumla,NP,2022-10-05 01:34:09,29.2747,82.1838,289.06,75,21,1.08
237,Chuy,UY,2022-10-05 01:34:10,-33.6971,-53.4616,284.86,89,0,2.46
238,Cockburn Town,TC,2022-10-05 01:34:10,21.4612,-71.1419,301.62,76,100,2.61
239,Neosho,US,2022-10-05 01:34:10,36.869,-94.368,294.18,59,100,3.87
240,Mount Gambier,AU,2022-10-05 01:34:11,-37.8333,140.7667,285.13,98,100,4.62
241,Sola,VU,2022-10-05 01:34:11,-13.8833,167.55,300.26,77,33,7.64
242,Novoanninskiy,RU,2022-10-05 01:34:12,50.5287,42.6747,286.24,93,7,3.27
243,Pecos,US,2022-10-05 01:34:12,31.4229,-103.4932,297.61,38,0,2.57
244,Tshikapa,CD,2022-10-05 01:34:12,-6.4167,20.8,294.53,91,41,1.25
245,Ilulissat,GL,2022-10-05 01:34:13,69.2167,-51.1,273.16,51,17,1.03
246,Coffs Harbour,AU,2022-10-05 01:32:04,-30.3,153.1333,290.45,88,75,2.57
247,Tambun,ID,2022-10-05 01:34:13,-6.2641,107.0712,302.61,62,100,0.59
248,Broken Hill,AU,2022-10-05 01:31:24,-31.95,141.4333,298.58,38,6,8.5
249,Bubaque,GW,2022-10-05 01:34:14,11.2833,-15.8333,300.66,79,91,3.52
250,Cortez,US,2022-10-05 01:30:39,37.3489,-108.5859,290.57,56,0,4.63
251,Jackson,US,2022-10-05 01:32:18,42.4165,-122.8345,303.08,32,0,5.14
252,Khandyga,RU,2022-10-05 01:34:15,62.6667,135.6,269.31,45,89,2.64
253,Ahuimanu,US,2022-10-05 01:34:15,21.4447,-157.8378,301.99,78,100,7.2
254,Port Blair,IN,2022-10-05 01:32:11,11.6667,92.75,301.17,78,75,1.03
255,Sisimiut,GL,2022-10-05 01:34:16,66.9395,-53.6735,271.44,73,6,3.69
256,Sitka,US,2022-10-05 01:34:16,57.0531,-135.33,292.09,42,40,6.69
257,Rubiataba,BR,2022-10-05 01:34:17,-15.1644,-49.8033,297.16,63,53,1.86
258,Boksitogorsk,RU,2022-10-05 01:34:17,59.474,33.8485,278.49,95,99,1.49
259,Cuamba,MZ,2022-10-05 01:34:18,-14.8031,36.5372,293.08,39,9,1.89
260,Kushima,JP,2022-10-05 01:34:18,31.4583,131.2333,302.07,60,4,2.37
261,Richards Bay,ZA,2022-10-05 01:33:46,-28.783,32.0377,292.92,72,72,2.21
262,Torbay,CA,2022-10-05 01:32:45,47.6666,-52.7314,283.3,86,0,8.75
263,Vihari,PK,2022-10-05 01:34:19,30.0333,72.35,299.01,34,0,0.84
264,Otjimbingwe,NA,2022-10-05 01:34:19,-22.35,16.1333,293.31,25,0,0.12
